timestamp,segment_id,horizon,model,pred,actual,abs_err
2026-01-16T00:00:00,R0009,15,gbm,49.82,49.82,0.0
2026-01-16T00:00:00,R0009,30,gbm,49.85,49.81,0.04
2026-01-16T00:00:00,R0009,45,gbm,49.78,49.69,0.09
2026-01-16T00:00:00,R0009,60,gbm,49.81,49.92,0.11
2026-01-16T00:00:00,R0012,15,gbm,39.7,39.93,0.23
2026-01-16T00:00:00,R0012,30,gbm,39.81,39.9,0.09
2026-01-16T00:00:00,R0012,45,gbm,39.64,39.81,0.17
2026-01-16T00:00:00,R0012,60,gbm,39.75,39.82,0.07
2026-01-16T00:00:00,R0081,15,gbm,49.66,50.0,0.34
2026-01-16T00:00:00,R0081,30,gbm,49.71,50.0,0.29
2026-01-16T00:00:00,R0081,45,gbm,49.71,49.77,0.06
2026-01-16T00:00:00,R0081,60,gbm,49.77,48.3,1.47
2026-01-16T00:00:00,R0082,15,gbm,29.77,29.83,0.06
2026-01-16T00:00:00,R0082,30,gbm,29.84,29.82,0.02
2026-01-16T00:00:00,R0082,45,gbm,29.76,29.86,0.1
2026-01-16T00:00:00,R0082,60,gbm,29.85,29.6,0.25
2026-01-16T00:00:00,R0093,15,gbm,59.62,58.89,0.73
2026-01-16T00:00:00,R0093,30,gbm,59.62,59.49,0.13
2026-01-16T00:00:00,R0093,45,gbm,59.74,59.68,0.06
2026-01-16T00:00:00,R0093,60,gbm,59.97,59.95,0.02
2026-01-16T00:00:00,R0099,15,gbm,59.7,59.54,0.16
2026-01-16T00:00:00,R0099,30,gbm,59.73,59.66,0.07
2026-01-16T00:00:00,R0099,45,gbm,59.52,59.67,0.15
2026-01-16T00:00:00,R0099,60,gbm,59.7,59.96,0.26
2026-01-16T00:00:00,R0100,15,gbm,49.56,49.91,0.35
2026-01-16T00:00:00,R0100,30,gbm,49.71,49.83,0.12
2026-01-16T00:00:00,R0100,45,gbm,49.68,49.76,0.08
2026-01-16T00:00:00,R0100,60,gbm,49.59,49.7,0.11
2026-01-16T00:00:00,R0103,15,gbm,59.51,59.61,0.1
2026-01-16T00:00:00,R0103,30,gbm,59.73,59.9,0.17
2026-01-16T00:00:00,R0103,45,gbm,59.63,60.0,0.37
2026-01-16T00:00:00,R0103,60,gbm,59.74,59.9,0.16
2026-01-16T02:00:00,R0033,15,gbm,59.73,59.97,0.24
2026-01-16T02:00:00,R0033,30,gbm,59.65,59.95,0.3
2026-01-16T02:00:00,R0033,45,gbm,59.64,59.75,0.11
2026-01-16T02:00:00,R0033,60,gbm,59.86,59.98,0.12
2026-01-16T02:00:00,R0036,15,gbm,49.84,49.98,0.14
2026-01-16T02:00:00,R0036,30,gbm,49.82,50.0,0.18
2026-01-16T02:00:00,R0036,45,gbm,49.84,49.87,0.03
2026-01-16T02:00:00,R0036,60,gbm,49.88,49.93,0.05
2026-01-16T02:00:00,R0042,15,gbm,59.86,59.92,0.06
2026-01-16T02:00:00,R0042,30,gbm,59.9,59.97,0.07
2026-01-16T02:00:00,R0042,45,gbm,59.9,59.95,0.05
2026-01-16T02:00:00,R0042,60,gbm,59.91,60.0,0.09
2026-01-16T02:00:00,R0058,15,gbm,49.52,49.6,0.08
2026-01-16T02:00:00,R0058,30,gbm,49.62,48.81,0.81
2026-01-16T02:00:00,R0058,45,gbm,49.55,49.42,0.13
2026-01-16T02:00:00,R0058,60,gbm,49.59,49.91,0.32
2026-01-16T02:00:00,R0068,15,gbm,29.85,29.95,0.1
2026-01-16T02:00:00,R0068,30,gbm,29.85,29.97,0.12
2026-01-16T02:00:00,R0068,45,gbm,29.81,29.78,0.03
2026-01-16T02:00:00,R0068,60,gbm,29.82,29.45,0.37
2026-01-16T02:00:00,R0069,15,gbm,49.72,49.46,0.26
2026-01-16T02:00:00,R0069,30,gbm,49.75,49.88,0.13
2026-01-16T02:00:00,R0069,45,gbm,49.67,49.8,0.13
2026-01-16T02:00:00,R0069,60,gbm,49.62,49.82,0.2
2026-01-16T02:00:00,R0079,15,gbm,59.68,59.99,0.31
2026-01-16T02:00:00,R0079,30,gbm,59.76,59.99,0.23
2026-01-16T02:00:00,R0079,45,gbm,59.55,59.88,0.33
2026-01-16T02:00:00,R0079,60,gbm,59.63,58.65,0.98
2026-01-16T02:00:00,R0080,15,gbm,29.79,29.99,0.2
2026-01-16T02:00:00,R0080,30,gbm,29.79,29.99,0.2
2026-01-16T02:00:00,R0080,45,gbm,29.79,29.84,0.05
2026-01-16T02:00:00,R0080,60,gbm,29.85,29.95,0.1
2026-01-16T04:00:00,R0026,15,gbm,59.9,59.99,0.09
2026-01-16T04:00:00,R0026,30,gbm,59.87,59.7,0.17
2026-01-16T04:00:00,R0026,45,gbm,59.9,59.94,0.04
2026-01-16T04:00:00,R0026,60,gbm,59.84,59.99,0.15
2026-01-16T04:00:00,R0052,15,gbm,49.89,49.89,0.0
2026-01-16T04:00:00,R0052,30,gbm,49.81,49.98,0.17
2026-01-16T04:00:00,R0052,45,gbm,49.89,49.92,0.03
2026-01-16T04:00:00,R0052,60,gbm,49.79,49.78,0.01
2026-01-16T04:00:00,R0055,15,gbm,49.85,49.86,0.01
2026-01-16T04:00:00,R0055,30,gbm,49.74,49.95,0.21
2026-01-16T04:00:00,R0055,45,gbm,49.81,49.81,0.0
2026-01-16T04:00:00,R0055,60,gbm,49.8,49.33,0.47
2026-01-16T04:00:00,R0058,15,gbm,49.57,49.94,0.37
2026-01-16T04:00:00,R0058,30,gbm,49.37,49.84,0.47
2026-01-16T04:00:00,R0058,45,gbm,49.46,49.78,0.32
2026-01-16T04:00:00,R0058,60,gbm,49.37,48.08,1.29
2026-01-16T04:00:00,R0069,15,gbm,49.68,49.89,0.21
2026-01-16T04:00:00,R0069,30,gbm,49.52,49.81,0.29
2026-01-16T04:00:00,R0069,45,gbm,49.73,49.88,0.15
2026-01-16T04:00:00,R0069,60,gbm,49.62,49.38,0.24
2026-01-16T04:00:00,R0082,15,gbm,29.78,29.89,0.11
2026-01-16T04:00:00,R0082,30,gbm,29.79,29.95,0.16
2026-01-16T04:00:00,R0082,45,gbm,29.75,29.98,0.23
2026-01-16T04:00:00,R0082,60,gbm,29.75,29.81,0.06
2026-01-16T04:00:00,R0098,15,gbm,29.72,29.42,0.3
2026-01-16T04:00:00,R0098,30,gbm,29.66,29.93,0.27
2026-01-16T04:00:00,R0098,45,gbm,29.64,29.52,0.12
2026-01-16T04:00:00,R0098,60,gbm,29.69,27.68,2.01
2026-01-16T04:00:00,R0102,15,gbm,49.54,48.7,0.84
2026-01-16T04:00:00,R0102,30,gbm,49.5,49.99,0.49
2026-01-16T04:00:00,R0102,45,gbm,49.57,49.29,0.28
2026-01-16T04:00:00,R0102,60,gbm,49.36,47.79,1.57
2026-01-16T06:00:00,R0033,15,gbm,59.1,58.9,0.2
2026-01-16T06:00:00,R0033,30,gbm,58.89,59.76,0.87
2026-01-16T06:00:00,R0033,45,gbm,58.67,56.14,2.53
2026-01-16T06:00:00,R0033,60,gbm,57.56,58.59,1.03
2026-01-16T06:00:00,R0081,15,gbm,49.52,49.44,0.08
2026-01-16T06:00:00,R0081,30,gbm,48.29,45.8,2.49
